label,review
0,房间算大 服务生也有礼貌 周到. 可惜其它都太差了. 房间充满了霉味. 洗个冲浴洗手间全是水. 每晚遭到蚊子聨合攻击 电蚊香全不管用. 这家酒店最多两星. 太失望了....I have stayed in many hotels all over Asia and Americas. This hotel is far from 4-Star hotel....Whoever gave this hotel the 4-star rating should have his/her head examed. Very very disappointed !!!
1,这M3屏幕大。玩什么都爽得不要不要的！2K屏很清晰的画面，让人爱不释手！
0,差评，承诺的吹风机没有送，单方面取消赠品。
1,"原来用的是515，现在用838，本贴想谈一下两机之间的区别(smartphone与WM5在操作的优缺点），WM5的优点是很多的，但我只讲对比之下WM5的不足之处。想要购买此机的朋友参考一下，以下缺点是否对你的影响会很大。上个月10日左右购进的T版838,花了4150元,1250毫安电池80元,金士顿1G卡320元，在用机的第三天就想写篇心得体会。1、单手操作的便利：S系统的单手操作设计十分便利，而W系统的单手操作功能是十分弱的，不论是在查找联系人，还是在输入短信方面都十分差劲。我在购机之前也是在本论坛看的资料，在“手机大全”里看到838支持T9输入法，当时就心存疑问，但也没多想，使用后才发现根本不支持T9。现在输入短信基本都要双手操作才能完成，以前我使用T9笔画输入十分娴熟，可以实现盲打，可以边开车边发短信。2、联系人：在查找联系人上，S系统是十分方便的，比如我要找一个叫“林海”的朋友。我可以直接输入“546”会列出一大堆姓林的联系人供我选择，如果嫌姓林的太多，也可以直接输入“424”就会列出联系人中有“海”的供我选择。还有就是输入手机号码的前几位后，下方也会列出以此开头的号码，十分方便。而在838中使用的WM5系统都没有这种人性化的功能。3、关于键盘：我看论坛上有关键盘的讨论是最多的，许多人觉得这个键盘是没有用的，我也有同感。我为了把这个键盘发挥最大的作用，花了一天的时间安装五笔（坛子上根本没有一篇文章把安装步骤和使用方法写得清楚完整），但装完后一直都没有痛痛快地用过一次。可能是我的短信聊天用得不多，如果是长时间，并且长篇大论发短信，那的确是很好用的，但这种人应该很少。还有就是可能会有一些游戏能用上键盘操作，但是我不喜欢玩游戏，所以没试过。这个键盘使用最多的功能就是——打开键盘对朋友说：看，很酷吧！4、关于系统软件：WM5的软件还是很多的，并且是很好用的，这一点上比SMARTPHONE要强大许多。我花了几乎一周的时间不停地装软件和卸软件，最终都装上了自己想装的东东，其乐无穷。特别是前段时间在北京出差了20天左右，手机上带的MSN、便笺，以及安装的“天行者”地图软件给我的工作带来很大的帮助，几乎等同带了一台电脑。尤其是便笺，随手记些东西特好用。"
0,12天没有收到货，也不给处理，可以的 。不就是*，换你一条差评行不行。让人心寒
0,果还行，物流绝对差评，生鲜水果居然用什么韵达，包装再好也顶不住物流的暴力运输，收到后发现有三个烂果，太失望了
1,11月4号去的 住了两个晚上的爱丽舍房间。定了情侣套餐。房间不错，床单很差，沐浴用品都是屈臣氏，很干净，洗手间小，不过楼下有桑拿。起了一点争执，因为情侣套餐中药浴只限男宾，且酒店方说只限一次。怒了，打电话给携程，又跟酒店方沟通，后来在那里呆了三天，每天一次（其实也没时间玩很多次）。酒店内地方很小，但是离红螺寺和慕田峪都很近，上了香，看了红叶。很满足。酒店服务不错，服务员都很纯朴。房间内有暖气，很暖和，阳光很足。就是不太好找，我们在东直门坐916到怀柔汽车站下，打了个车，10元到了，要记住酒店电话，以便边走边问，因为好多司机都不知道地方，且怀柔有很多叫湖光的别墅区。
0,二手手机冒充新手机卖给老百姓，京东太黑了
0,试机时开了不到30分钟，已经能用手摸到发热升温。还没进一步测。
1,小巧散热性好，女士用很轻便，比公司的hp轻很多。 自身带的vista系统用了赠送的内存条稍微快了些。问题暂时没有发现，不过声音感觉太小。
0,我住的是6号房，无窗，像住地下室；而且因此酒店地处繁华地段经营业务也很多，电梯里遇见的人很杂！总的来说住宿环境很不舒服！房价在携程预定也没有得到任何优惠，不预定直接入住也一样是那个价格，其他房间的环境不知道，不好乱说。但建议，大家一定要问清楚。自己的要求。省得后悔！
1,不错，面料很不错，质量不错，以后会多关注
1,效果很好，穿起来很好看！服务态度也很好！质量不错！
1,地理位置距离通常的客运码头比较远，要横穿小岛，预计30-40分钟，酒店处于岛的另一面很安静，游客不多，适合疗养，门前就有一个小码头，但每小时一般。
0,手机买来送父母的，因为春节前购买的，春节回家送父母，耽误了退换15天的期限，但是谁也没想到有问题要换货啊，微信发语音前三秒有特别大的噪音，卸载重下也还是一样，去售后修了两次只有点改善，但仍然没有解决问题，无数次联系客服都只是建议去售后，新手机出厂有问题却不给条换，在华为买好几部手机了，信誉太差
1,618买的，算下来比较划算吧，也一直在用的牌子，不过洗发露真的容量有点小
1,卖家发货速度快，质量不错，大小刚刚好，穿着舒服，挺满意
1,物流太快了，收到货后也太满意了，物有所值，真心喜欢，果断收藏店铺以后就会赖上她家的店
1,物流速度非常快，店主服务态度也很好，裤子外观很好看，穿起来更加舒服，下次一定再来购买。
0,环境一般。房间垃圾。 7楼水压都没有 洗澡都没办法洗。 跟90年代招待所没区别。 下次出我钱都不会住！！
0,京东的包装…真是越来越差了，两瓶洗发水一点缓冲的泡沫也没有，哪怕你塞点报纸也好啊！买了两瓶洒了一瓶！！差评没商量！！
1,以前用蛮好的，这次99买也么多，超划算！好评
0,为什么货到付款的已经收货但是不能完成订单？ 就是为了省几个优惠券吗？
1,裤子收到啦，质量不错，穿着合适，卖家服务态度不错，值得推荐。
0,回来时打开盒子是漏的
0,环境和各方面的设施都很老旧，房间小，次所小得离谱，服务态度也一般。实在连3星级都算不上
1,喜欢小动物尤其是猫咪的XDJM都要看一下，非常有意思！不喜欢小动物的人就更应该读一下，猫咪或者动物的世界与你没有什么不同！
1,618就是划算，买了两瓶，还有一瓶大的海飞丝，平均一瓶65，光滋源这一瓶就挺值
1,卖家态度非常好！发货速度很快，周围的同事都说不错，大小合适，穿着比较舒适
1,物流慢了一点哈，其他都不错。应该是正品的，还没用 扫了一下码，比商场的便宜了。这次送了2瓶小的
1,支持蒙牛、支持伊利！！！
1,安装上了，用了很不错，售后很好，一直在咨询安装上的使用情况，买的时候还担心没人管没人问呢，美的产品值得信赖
0,要是有蓝牙就好了。 这款电脑不知道怎么回事，屏幕总爱黑，估计是vista系统的问题。。？不太习惯
1,比实体店便宜，无硅油，用的也放心
0,不满意，别人买的都是*，或者*。我买的时候没有降价还最贵*而且没有贴膜，没有耳机，也没有外壳。什么都没有，只有充电器。。不满意。分辨率真的很低！尤其是照相机像素很低，音质一般。其他还好，反正不值这个钱！
1,赶上搞活动果断下单，很划算看着很喜欢！京东快递快昨晚下单今中午到了。以后买东西就上京东了
0,差，很差，非常差！袖珍到无法想象。如何是海棠果就是很大的了。太遗憾，京东生鲜太差！
1,裤子很好穿，有弹性，就是有点薄，秋天合适。
1,穿着特别舒服，而且有弹性。型也好。
1,发货很快，东西不错，不错，好用！对比下其他平台，京东运输和货运时间，效率最高，所以每次只能在京东买。希望京东就是我们的唯一超市！我信赖京东商城！
0,只给一星，为什么？？什么都不送，我都可以理解！平板电脑上连个原装膜都不贴，这也太抠了吧！叫我怎么用？？还要去去贴膜！华为你的服务也太周到了吧！哪怕是一张高清膜，值几快钱啊！！！
1,质量很好啊，跟实体店差不多却省钱了
1,非常好的酒店，四星的标准完全超值的享受，服务非常好
1,手感特别好，很薄很轻便，屏幕非常清晰，触感非常好，做工也很精致，国产品牌崛起
0,房间小，根本没宣传的大； 住的北楼，要走一段路，东西多不方便； 像迷宫，绕来绕去不方便； 这个价位不值，性价比不高
1,第一次买，酸甜的，很新鲜，水份足，一次买了三箱，孕妇吃着放心
1,通过几个故事讲述职场的人际关系，处事的道理。感觉很真实，有的故事就好像身边发生的一样。不管是即将踏入职场的，还是正在职场中摸爬滚打的人来说，都值得读一读。我自己好像故事中的Cindy，琐碎的事情很多，年终考核的时候却难以得到高分。老板不会看你订了几张机票，他看到的只有赚多少钱，可是难道能说订机票不是工作吗？值得让人细细回味的一本书，只读一遍时不沟的。
1,蒙牛不错
0,太不好了....假的吗？头皮屑跟下雪似的！本来一点都没！！可以退货吗？疯了
1,开始在网上看到连载该书，觉得不错，决定买来认真读读。拿到新书，书封暗红底纹，暗藏着危机预警。用心读完，觉得全书人物个性鲜明，故事性也比较强。不错，不错，实在是难得的好书。
0,客服态度太差。
0,还好，就是太大了
1,体积与重量都恰到好处，十分好用。Atom270的测试指标虽然不高，但是实际使用效果超过预期。可以看1024x560级别的RMVB一点不卡。使用外置光驱安装系统极其顺利。声卡驱动的安装也不需要用到微软的补丁。
1,废话有点多，见怪莫怪哈！见谅！总之看上了就买吧，不会后悔的！
0,差评，并不是很好用?
1,小巧，漂亮！上网，文本和照片编辑速度还算理想。屏幕和键盘的大小还好！
0,内容和见地一般，说教太多，很失望。
0,白色似乎不耐脏，但，欣喜的是：这种特别的外壳资材，却是非常特殊，有点脏一抹就掉了，特别干净，非常出乎我的意料！！！
0,不太满意，有天晚上十点半回来，没有热水，忍了，第二天早晨还是没有热水，打电话去总台问了三四次，才知道是煤气公司停气。酒店至少应该提前通知吧，这是夏天！！！还有我出去办事，LP在楼下上网，用了大约十分钟左右，有工作人员出来让她不要用了，说这个电脑是给商务人员用的，可能是我LP长得像小孩，我住了好多家汉庭从来没有听说电脑是商务人员用的。还有个题外话，前两天我是用南航会员卡直接预订入住的，因前台人员不会操作或操作失误，导致我第一天的活动里程无法累计，前台理直气壮的说不能补！我只能说，这家汉庭是我住过的汉庭中最烂的。
1,好评，价格便宜，送货速度快，送货师傅态度很好。
0,华为这个品牌本来口碑还挺好的，但我买这个手机感觉很不行左边的那个播放器没声音，然后买手机的也不贴个保护膜，也不加说明，还好我没有把那个屏给弄花后来我在网上搜了一下，像我这样播放器左边或右边没有声音的情况，还有，所以说我的这种情况并不是特例，而那个手机设计出了问题
0,真特么是垃圾，和图片差别太大了，明明是29码的穿起来比31码还要大，而且这颜色也特么是狗屎，买黑色的送条灰色的。
1,性价比满高的酒店!闹中取静，院内环境幽静，怀旧的感觉，如同对西安的感觉。也可以选择院内其他酒店的配套消费。离钟鼓楼很近，也满安全的。房间内，设施具全，选择颜色和设计，体现法国人浪漫和温馨的情调。例如，浴室淋浴房和卧室用玻璃隔开的。唯一不足的是，房间之间的隔音比较差。。。还是满只得推荐的。。。
0,不喜欢，假的！太差了
1,包装挺好的。不知道效果如何，回头用了再追评。
1,包装很严实，快递小哥的服务态度不得不给满分，日期新鲜，应该是正品哦
1,卖家发过来非常的快，服务非常到位，满分好评，用后再追加哦！
0,软的，我第一次知道苹果还可以酸得掉牙，心还是烂的。一分给快递，快递很好，商家商品不行。
0,第二次购买了，相同的包装，可是口感跟第一次比是差远了。上次的是清爽甜甜的，这次很多个果有碰伤太多，而且吃起来除了酸还是酸。
1,刚刚入手，目前还不错，可以好好期待，期待阴阳师～
0,京东的快递人员确实够烂，下单时声明了送货前要打电话，电话没打来，在公司吃午饭的时候送货，因为是公司采购，午休没到上班时间，财务不在，支票不能开，稍微等了5分钟就不耐烦了，还骂粗话，京东还是要把握好细节
1,这次去广西在金都住了2天，一次普通房，一次豪华房。规规矩矩4星级。服务很好，房间不错，离火车站步行10分钟。性价比很好。当然广西整体房价不高。推荐。
1,用过了，味道很好闻，用着也挺不错的，挺喜欢用清扬这个牌子的！
1,物流很给力！第二天就收到了！包装的很好！服务态度很好！满意的！一直都信赖京东商城！一直都支持京东！
1,给朋友买的，说是非常喜欢，系统很流畅。好评，国货雄起！
1,好久不买了，希望这次是新鲜的的.......................
0,号黑了，京东还不承认。为了不浪费免邮券，只好买点*，用券再加支付减免反正我不会赔。不会再买plus会员了，巨坑！京东商品价格波动巨大，一瓶李锦记 味极鲜 特级酱油黄豆酿造 调味提鲜 *
1,再次购买，脆甜略带酸，口感好，比超市的红富士好吃还便宜。每次都是买2箱。唯一不满意的是必须和生鲜搭配凑够99元，要是能和其他产品搭配凑够99元就好了，可以经常买
0,质量不错穿上很合适满意。
1,618买的，很实惠，比超市便宜多了
0,尺寸小啦，感觉并不是标准码哦，平手都穿这个尺寸的 结果买回来小了不止一点，建议亲们还是买大一点的号吧
1,一直购买华为手机，值得信赖。
0,太一般了、就值几十块
1,质量很好 料子不错 穿上很舒服 蛮暖和的
0,24号买的，手中不小心滑落屏已经碎，时时刻刻，分分秒秒做好换屏的准备。
0,谁买谁就知道是烂货
1,今天到的货东西刚刚用感觉挺好的，就是我买的是华为M2青春版结果给我送来的是华为M2揽阅……
1,喜欢新颖的键盘。整机运行很平稳，噪音也很小。使用几个小时没有明显的发热感。
1,物流速度快，个头比较小，口感还不错
0,本想支持国产的，不好用，特别是智能键，用起来不舒服，。反应也挺慢的，后悔了。。。。
0,各方面都很一般，象个小旅店，也没什么太出格缺陷，价格略贵啊。
0,键盘用起来觉得有点松，没有其他牌子感觉弹性那么好那么紧实。没有蓝牙是一大遗憾。
1,蒙牛新包装，丹彤出品，必属精品
1,外观时尚大气，价格也还可以。没发现过热情况。用了几天感觉质量不错，值得拥有。
1,已经n次购买了，棒棒哒，没有烂的，口味一级好，我已经成了京东的铁粉了
1,挺新鲜，没有坏的不好的，包装完好，很赞阿！还没吃，一会尝尝，就是小了一点不够大 哈哈
1,卖家服务好，价格公道~!哈哈，不谦虚了，想看更多，就来吧，好了，不浪费你的时间了，加油!!!!
1,我们一家三口于2008年7月19日至22日，入住泛海名人酒店，之前也看过网上的评论。抱着试试看的心态和本身从事航空服务的、较专业的眼光，真切地体会到物有所值、名不虚传。无论是明亮的大堂、楼层的过厅、还是洁净的客房，都布置地特别典雅舒适，充满着家的温馨。我们住的是位于四楼的海景房，真是面对大海春暖花开，窗台上装饰着漂亮的花花草草，放眼望去是一望无际的大海。栈桥近在咫尺，推开窗户，迎面吹来和煦的海风；关上窗户，没有一丝都市的喧闹。让我们真正感到来到了青岛，真正的享受到海景房的惬意舒适。特别是泛海名人的大堂经理，一个个子高高、眼睛大大的女孩，有点象青春版的倪萍，但比年青时的倪萍更漂亮。态度特别和蔼，为客人服务特别周到，能真正的想客人所想、急客人所急。特别主动地关注客人的需求，及时了解和为客人解决困难。她总是面带微笑，举手投足和言语间特别礼貌周到、规范专业。即使外面只是有些蒙蒙细雨，她也能特别周到的、主动为客人送上雨伞。我觉得她可以做青岛的形象大使，她的美丽端庄，特别有中国传统女性的风采和气韵。再去青岛，还住泛海名人，也希望更多的朋友认识这位优秀的、漂亮大方、有东方女性特质的大堂经理。感谢泛海名人带给我们一个美好假期，也谢谢这位大堂经理及楼层服务员的优质服务。 来自北京的客人 2008/08/01
1,裤子质量很好，穿起来很修身，上班穿起来靓靓的很舒服!
1,已经几次入住悦华，很不错的酒店，服务态度相当的好，其实距离也还好，打车去中山路购物街什么的也就20块钱。
0,我也是醉了，就差一天就降了*块钱，开机较慢，其他还没使用
